N,time,
3710,300,
3720,400,
3730,400,
3740,500,
3750,400,
3760,400,
3770,400,
3780,300,
3790,400,
3800,400,
3810,500,
3820,400,
3830,300,
3840,300,
3850,400,
3860,300,
3870,300,
3880,400,
3890,500,
3900,400,
3910,400,
3920,401,
3930,400,
3940,400,
3950,400,
3960,600,
3970,300,
3980,600,
3990,400,
4000,700,
4010,600,
4020,400,
4030,400,
4040,599,
4050,600,
4060,400,
4070,400,
4080,500,
4090,400,
4100,400,
4110,400,
4120,300,
4130,300,
4140,400,
4150,500,
4160,400,
4170,400,
4180,400,
4190,400,
4200,300,
4210,300,
4220,400,
4230,399,
4240,400,
4250,302,
4260,400,
4270,502,
4280,400,
4290,500,
4300,398,
4310,398,
4320,301,
4330,300,
4340,502,
4350,398,
4360,402,
4370,300,
4380,500,
4390,400,
4400,400,
4410,400,
4420,300,
4430,301,
4440,300,
4450,400,
4460,302,
4470,400,
4480,302,
4490,400,
4500,402,
4510,398,
4520,302,
4530,400,
4540,300,
4550,400,
4560,498,
4570,302,
4580,400,
4590,402,
4600,498,
4610,402,
4620,400,
4630,300,
4640,402,
4650,400,
4660,402,
4670,301,
4680,402,
4690,400,
4700,500,
4710,401,
4720,400,
4730,301,
4740,300,
4750,502,
4760,300,
4770,402,
4780,498,
4790,400,
4800,400,
4810,400,
4820,401,
4830,400,
4840,300,
4850,400,
4860,401,
4870,400,
4880,402,
4890,400,
4900,401,
4910,300,
4920,400,
4930,402,
4940,398,
4950,301,
4960,400,
4970,402,
4980,301,
4990,400,
5000,501,
5010,398,
5020,300,
5030,400,
5040,700,
5050,600,
5060,500,
5070,702,
5080,400,
5090,500,
5100,400,
5110,602,
5120,598,
5130,398,
5140,500,
5150,500,
5160,402,
5170,398,
5180,400,
5190,400,
5200,401,
5210,400,
5220,400,
5230,300,
5240,400,
5250,402,
5260,400,
5270,402,
5280,400,
5290,398,
5300,400,
5310,400,
5320,400,
5330,400,
5340,300,
5350,401,
5360,398,
5370,402,
5380,300,
5390,302,
5400,400,
5410,402,
5420,302,
5430,400,
5440,301,
5450,500,
5460,400,
5470,400,
5480,400,
5490,300,
5500,400,
5510,300,
5520,600,
5530,400,
5540,400,
5550,400,
5560,397,
5570,400,
5580,400,
5590,401,
5600,402,
5610,499,
5620,302,
5630,400,
5640,502,
5650,400,
5660,401,
5670,400,
5680,301,
5690,400,
5700,402,
5710,600,
5720,400,
5730,500,
5740,400,
5750,400,
5760,301,
5770,502,
5780,398,
5790,302,
5800,402,
5810,400,
5820,400,
5830,402,
5840,300,
5850,502,
5860,300,
5870,400,
5880,301,
5890,399,
5900,402,
5910,398,
5920,500,
5930,300,
5940,402,
5950,400,
5960,498,
5970,402,
5980,398,
5990,302,
6000,401,
6010,402,
6020,400,
6030,500,
6040,400,
6050,400,
6060,300,
6070,500,
6080,500,
6090,400,
6100,500,
6110,300,
6120,500,
6130,400,
6140,600,
6150,400,
6160,700,
6170,500,
6180,300,
6190,600,
6200,400,
6210,500,
6220,400,
6230,400,
6240,400,
6250,400,
6260,400,
6270,400,
6280,300,
6290,300,
6300,400,
6310,400,
6320,400,
6330,400,
6340,400,
6350,399,
6360,400,
6370,400,
6380,400,
6390,400,
6400,300,
6410,300,
6420,400,
6430,300,
6440,400,
6450,400,
6460,500,
6470,300,
6480,401,
6490,399,
6500,400,
6510,400,
6520,400,
6530,400,
6540,400,
6550,400,
6560,300,
6570,500,
6580,400,
6590,400,
6600,300,
6610,400,
6620,400,
6630,400,
6640,400,
6650,400,
6660,400,
6670,300,
6680,300,
6690,400,
6700,400,
6710,401,
6720,399,
6730,400,
6740,400,
6750,400,
6760,400,
6770,400,
6780,400,
6790,400,
6800,501,
6810,300,
6820,300,
6830,400,
6840,500,
6850,400,
6860,400,
6870,400,
6880,400,
6890,400,
6900,300,
6910,300,
6920,500,
6930,400,
6940,400,
6950,400,
6960,300,
6970,300,
6980,400,
6990,400,
7000,300,
7010,400,
7020,400,
7030,500,
7040,400,
7050,400,
7060,400,
7070,400,
7080,300,
7090,300,
7100,401,
7110,399,
7120,400,
7130,400,
7140,300,
7150,301,
7160,400,
7170,402,
7180,400,
7190,500,
7200,400,
7210,500,
7220,700,
7230,600,
7240,700,
7250,400,
7260,500,
7270,399,
7280,400,
7290,300,
7300,500,
7310,400,
7320,400,
7330,300,
7340,400,
7350,300,
7360,400,
7370,500,
7380,300,
7390,300,
7400,300,
7410,400,
7420,300,
7430,401,
7440,399,
7450,500,
7460,300,
7470,300,
7480,400,
7490,400,
7500,300,
7510,400,
7520,400,
7530,399,
7540,400,
7550,400,
7560,400,
7570,400,
7580,300,
7590,400,
7600,400,
7610,300,
7620,400,
7630,400,
7640,500,
7650,400,
7660,400,
7670,300,
7680,400,
7690,400,
7700,400,
7710,400,
7720,400,
7730,400,
7740,400,
7750,400,
7760,400,
7770,400,
7780,400,
7790,400,
7800,400,
7810,400,
7820,400,
7830,400,
7840,400,
7850,300,
7860,300,
7870,400,
7880,400,
7890,400,
7900,400,
7910,500,
7920,300,
7930,500,
7940,400,
7950,300,
7960,400,
7970,300,
7980,402,
7990,400,
8000,402,
8010,500,
8020,402,
8030,400,
8040,400,
8050,401,
8060,400,
8070,301,
8080,400,
8090,502,
8100,398,
8110,402,
8120,401,
8130,400,
8140,402,
8150,300,
8160,400,
8170,400,
8180,402,
8190,400,
8200,500,
8210,400,
8220,398,
8230,400,
8240,400,
8250,400,
8260,300,
8270,401,
8280,400,
8290,400,
8300,500,
8310,500,
8320,400,
8330,700,
8340,700,
8350,500,
8360,600,
8370,300,
8380,400,
8390,300,
8400,600,
8410,300,
8420,500,
8430,400,
8440,400,
8450,400,
8460,400,
8470,399,
8480,500,
8490,299,
8500,500,
8510,400,
8520,400,
8530,500,
8540,400,
8550,400,
8560,300,
8570,400,
8580,500,
8590,400,
8600,400,
8610,400,
8620,400,
8630,300,
8640,400,
8650,300,
8660,400,
8670,400,
8680,400,
8690,500,
8700,400,
8710,400,
8720,300,
8730,500,
8740,300,
8750,400,
8760,400,
8770,400,
8780,400,
8790,400,
8800,500,
8810,400,
8820,400,
8830,399,
8840,400,
8850,400,
8860,400,
8870,400,
8880,400,
8890,400,
8900,400,
8910,300,
8920,400,
8930,400,
8940,400,
8950,400,
8960,400,
8970,400,
8980,400,
8990,400,
9000,400,
9010,400,
9020,400,
9030,500,
9040,400,
9050,400,
9060,300,
9070,500,
9080,302,
9090,300,
9100,400,
9110,400,
9120,400,
9130,302,
9140,400,
9150,401,
9160,498,
9170,300,
9180,400,
9190,300,
9200,400,
9210,400,
9220,400,
9230,400,
9240,400,
9250,500,
9260,399,
9270,400,
9280,400,
9290,400,
9300,400,
9310,300,
9320,400,
9330,399,
9340,400,
9350,300,
9360,300,
9370,500,
9380,400,
9390,600,
9400,500,
9410,400,
9420,400,
9430,600,
9440,500,
9450,600,
9460,500,
9470,300,
9480,401,
9490,400,
9500,600,
9510,400,
9520,400,
9530,399,
9540,300,
9550,300,
9560,400,
9570,400,
9580,400,
9590,400,
9600,400,
9610,400,
9620,300,
9630,400,
9640,399,
9650,400,
9660,400,
9670,400,
9680,500,
9690,300,
9700,400,
9710,400,
9720,400,
9730,400,
9740,400,
9750,400,
9760,400,
9770,400,
9780,400,
9790,400,
9800,400,
9810,400,
9820,400,
9830,400,
9840,402,
9850,400,
9860,401,
9870,399,
9880,400,
9890,400,
9900,400,
9910,502,
9920,400,
9930,402,
9940,400,
9950,400,
9960,300,
9970,300,
9980,500,
9990,400,
