N,time
3180,100
3190,100
3200,0
3210,200
3220,201
3230,100
3240,100
3250,100
3260,301
3270,200
3280,0
3290,100
3300,0
3310,0
3320,0
3330,100
3340,100
3350,100
3360,203
3370,100
3380,0
3390,0
3400,100
3410,0
3420,0
3430,0
3440,0
3450,100
3460,0
3470,100
3480,0
3490,200
3500,100
3510,200
3520,100
3530,100
3540,0
3550,100
3560,100
3570,100
3580,0
3590,0
3600,200
3610,0
3620,100
3630,100
3640,0
3650,300
3660,100
3670,0
3680,200
3690,100
3700,100
3710,100
3720,100
3730,100
3740,200
3750,100
3760,0
3770,100
3780,0
3790,200
3800,300
3810,100
3820,0
3830,0
3840,100
3850,100
3860,0
3870,300
3880,100
3890,100
3900,0
3910,100
3920,100
3930,200
3940,100
3950,0
3960,100
3970,0
3980,100
3990,200
4000,0
4010,200
4020,0
4030,200
4040,200
4050,198
4060,0
4070,100
4080,100
4090,100
4100,99
4110,200
4120,0
4130,200
4140,300
4150,100
4160,0
4170,200
4180,0
4190,200
4200,100
4210,98
4220,300
4230,0
4240,100
4250,0
4260,200
4270,100
4280,100
4290,100
4300,200
4310,100
4320,100
4330,0
4340,200
4350,0
4360,198
4370,200
4380,200
4390,200
4400,101
4410,199
4420,100
4430,0
4440,100
4450,200
4460,100
4470,100
4480,100
4490,100
4500,100
4510,100
4520,300
4530,100
4540,100
4550,200
4560,100
4570,98
4580,100
4590,200
4600,200
4610,100
4620,200
4630,0
4640,100
4650,200
4660,0
4670,100
4680,200
4690,100
4700,300
4710,0
4720,100
4730,0
4740,100
4750,99
4760,0
4770,0
4780,400
4790,100
4800,200
4810,100
4820,0
4830,300
4840,0
4850,0
4860,200
4870,100
4880,0
4890,400
4900,100
4910,300
4920,0
4930,200
4940,100
4950,0
4960,100
4970,0
4980,200
4990,100
5000,0
5010,300
5020,0
5030,200
5040,200
5050,0
5060,300
5070,0
5080,200
5090,200
5100,300
5110,400
5120,0
5130,100
5140,500
5150,0
5160,300
5170,0
5180,300
5190,200
5200,100
5210,100
5220,0
5230,0
5240,0
5250,0
5260,0
5270,300
5280,0
5290,0
5300,0
5310,98
5320,200
5330,0
5340,0
5350,0
5360,0
5370,0
5380,0
5390,98
5400,0
5410,0
5420,100
5430,200
5440,0
5450,100
5460,0
5470,0
5480,400
5490,0
5500,0
5510,100
5520,200
5530,200
5540,100
5550,0
5560,200
5570,0
5580,202
5590,0
5600,198
5610,100
5620,200
5630,200
5640,99
5650,200
5660,100
5670,200
5680,100
5690,100
5700,100
5710,300
5720,100
5730,100
5740,98
5750,200
5760,201
5770,0
5780,300
5790,198
5800,200
5810,302
5820,0
5830,200
5840,300
5850,100
5860,200
5870,200
5880,300
5890,0
5900,300
5910,200
5920,100
5930,0
5940,101
5950,100
5960,300
5970,200
5980,100
5990,200
6000,100
6010,200
6020,200
6030,100
6040,100
6050,200
6060,0
6070,200
6080,300
6090,200
6100,200
6110,402
6120,200
6130,400
6140,100
6150,200
6160,199
6170,300
6180,200
6190,200
6200,200
6210,100
6220,200
6230,200
6240,200
6250,200
6260,100
6270,200
6280,300
6290,200
6300,100
6310,198
6320,300
6330,200
6340,200
6350,100
6360,100
6370,200
6380,300
6390,100
6400,198
6410,200
6420,100
6430,300
6440,200
6450,198
6460,100
6470,200
6480,100
6490,100
6500,300
6510,200
6520,300
6530,300
6540,200
6550,302
6560,198
6570,200
6580,100
6590,100
6600,400
6610,200
6620,300
6630,100
6640,200
6650,200
6660,201
6670,100
6680,100
6690,300
6700,0
6710,400
6720,200
6730,200
6740,200
6750,300
6760,0
6770,400
6780,200
6790,200
6800,100
6810,200
6820,300
6830,200
6840,200
6850,100
6860,100
6870,200
6880,200
6890,400
6900,300
6910,100
6920,200
6930,300
6940,0
6950,200
6960,302
6970,100
6980,300
6990,200
7000,200
7010,300
7020,300
7030,0
7040,400
7050,500
7060,100
7070,298
7080,200
7090,300
7100,200
7110,0
7120,100
7130,300
7140,200
7150,199
7160,300
7170,300
7180,200
7190,200
7200,300
7210,300
7220,500
7230,200
7240,400
7250,100
7260,100
7270,200
7280,300
7290,0
7300,200
7310,200
7320,100
7330,100
7340,200
7350,300
7360,300
7370,0
7380,200
7390,400
7400,300
7410,200
7420,400
7430,200
7440,300
7450,200
7460,100
7470,200
7480,100
7490,200
7500,200
7510,300
7520,100
7530,301
7540,200
7550,200
7560,100
7570,400
7580,100
7590,200
7600,200
7610,300
7620,300
7630,100
7640,100
7650,200
7660,0
7670,400
7680,200
7690,400
7700,200
7710,300
7720,100
7730,300
7740,200
7750,200
7760,300
7770,200
7780,400
7790,400
7800,200
7810,200
7820,400
7830,300
7840,400
7850,400
7860,100
7870,200
7880,300
7890,400
7900,200
7910,300
7920,302
7930,200
7940,0
7950,100
7960,100
7970,300
7980,300
7990,300
8000,402
8010,100
8020,200
8030,198
8040,300
8050,300
8060,500
8070,300
8080,198
8090,300
8100,0
8110,500
8120,200
8130,300
8140,302
8150,200
8160,100
8170,200
8180,100
8190,0
8200,298
8210,300
8220,298
8230,200
8240,301
8250,100
8260,398
8270,200
8280,400
8290,200
8300,0
8310,100
8320,300
8330,100
8340,300
8350,200
8360,200
8370,100
8380,300
8390,300
8400,200
8410,298
8420,300
8430,200
8440,100
8450,198
8460,400
8470,201
8480,298
8490,198
8500,302
8510,200
8520,402
8530,102
8540,300
8550,300
8560,300
8570,100
8580,200
8590,200
8600,300
8610,200
8620,401
8630,400
8640,201
8650,300
8660,200
8670,300
8680,100
8690,400
8700,300
8710,300
8720,400
8730,300
8740,400
8750,300
8760,200
8770,400
8780,400
8790,300
8800,298
8810,200
8820,400
8830,202
8840,298
8850,302
8860,100
8870,300
8880,200
8890,300
8900,300
8910,400
8920,400
8930,300
8940,300
8950,300
8960,300
8970,300
8980,200
8990,200
9000,400
9010,300
9020,400
9030,200
9040,100
9050,202
9060,0
9070,397
9080,300
9090,200
9100,600
9110,100
9120,500
9130,200
9140,200
9150,200
9160,400
9170,402
9180,200
9190,0
9200,200
9210,200
9220,300
9230,500
9240,200
9250,200
9260,300
9270,400
9280,200
9290,0
9300,400
9310,200
9320,200
9330,100
9340,201
9350,298
9360,0
9370,602
9380,300
9390,301
9400,200
9410,99
9420,400
9430,400
9440,99
9450,200
9460,300
9470,300
9480,100
9490,100
9500,401
9510,200
9520,200
9530,300
9540,298
9550,500
9560,200
9570,200
9580,398
9590,300
9600,200
9610,200
9620,400
9630,298
9640,199
9650,400
9660,298
9670,600
9680,300
9690,300
9700,100
9710,200
9720,400
9730,400
9740,400
9750,300
9760,200
9770,500
9780,200
9790,300
9800,400
9810,500
9820,300
9830,300
9840,400
9850,200
9860,200
9870,500
9880,601
9890,100
9900,300
9910,400
9920,600
9930,299
9940,600
9950,200
9960,200
9970,400
9980,398
9990,200
