N,time
3180,100
3190,300
3200,200
3210,200
3220,100
3230,400
3240,100
3250,300
3260,300
3270,302
3280,300
3290,200
3300,200
3310,100
3320,402
3330,199
3340,300
3350,200
3360,300
3370,200
3380,200
3390,200
3400,200
3410,200
3420,400
3430,200
3440,200
3450,200
3460,102
3470,200
3480,298
3490,100
3500,301
3510,200
3520,200
3530,100
3540,200
3550,200
3560,200
3570,200
3580,300
3590,200
3600,200
3610,200
3620,200
3630,200
3640,200
3650,200
3660,300
3670,300
3680,200
3690,100
3700,398
3710,200
3720,300
3730,202
3740,300
3750,200
3760,300
3770,200
3780,200
3790,200
3800,200
3810,200
3820,0
3830,400
3840,0
3850,498
3860,0
3870,300
3880,100
3890,300
3900,200
3910,200
3920,300
3930,300
3940,100
3950,202
3960,198
3970,300
3980,100
3990,400
4000,200
4010,402
4020,200
4030,100
4040,200
4050,600
4060,200
4070,0
4080,0
4090,700
4100,300
4110,400
4120,0
4130,0
4140,0
4150,400
4160,902
4170,100
4180,0
4190,0
4200,0
4210,298
4220,1000
4230,1000
4240,800
4250,0
4260,0
4270,0
4280,500
4290,0
4300,800
4310,300
4320,0
4330,600
4340,0
4350,500
4360,300
4370,201
4380,400
4390,200
4400,600
4410,0
4420,400
4430,0
4440,500
4450,400
4460,1000
4470,900
4480,700
4490,500
4500,100
4510,500
4520,300
4530,0
4540,500
4550,898
4560,0
4570,400
4580,300
4590,100
4600,200
4610,0
4620,300
4630,1000
4640,500
4650,0
4660,600
4670,0
4680,0
4690,500
4700,100
4710,400
4720,200
4730,300
4740,500
4750,0
4760,500
4770,198
4780,200
4790,200
4800,500
4810,200
4820,500
4830,100
4840,500
4850,498
4860,200
4870,500
4880,200
4890,500
4900,200
4910,400
4920,198
4930,200
4940,100
4950,100
4960,200
4970,300
4980,300
4990,400
5000,300
5010,200
5020,500
5030,201
5040,400
5050,200
5060,200
5070,401
5080,200
5090,300
5100,398
5110,300
5120,402
5130,200
5140,300
5150,500
5160,200
5170,400
5180,100
5190,502
5200,300
5210,100
5220,500
5230,200
5240,400
5250,300
5260,602
5270,502
5280,300
5290,500
5300,298
5310,301
5320,200
5330,200
5340,500
5350,400
5360,200
5370,300
5380,400
5390,200
5400,398
5410,402
5420,400
5430,300
5440,200
5450,199
5460,403
5470,402
5480,300
5490,300
5500,300
5510,402
5520,300
5530,400
5540,298
5550,402
5560,401
5570,200
5580,398
5590,400
5600,300
5610,300
5620,300
5630,201
5640,400
5650,500
5660,200
5670,502
5680,500
5690,400
5700,400
5710,300
5720,400
5730,300
5740,400
5750,300
5760,300
5770,400
5780,400
5790,300
5800,401
5810,300
5820,200
5830,300
5840,300
5850,398
5860,300
5870,300
5880,300
5890,300
5900,500
5910,300
5920,500
5930,198
5940,300
5950,500
5960,200
5970,400
5980,400
5990,300
6000,300
6010,596
6020,500
6030,502
6040,400
6050,400
6060,400
6070,400
6080,300
6090,300
6100,500
6110,600
6120,400
6130,500
6140,400
6150,402
6160,299
6170,300
6180,300
6190,602
6200,401
6210,302
6220,400
6230,400
6240,498
6250,401
6260,402
6270,402
6280,200
6290,400
6300,400
6310,598
6320,499
6330,300
6340,300
6350,400
6360,498
6370,300
6380,498
6390,700
6400,300
6410,398
6420,300
6430,400
6440,400
6450,500
6460,398
6470,300
6480,400
6490,599
6500,400
6510,499
6520,402
6530,498
6540,400
6550,500
6560,402
6570,402
6580,502
6590,400
6600,400
6610,500
6620,400
6630,402
6640,500
6650,300
6660,600
6670,302
6680,500
6690,498
6700,698
6710,500
6720,300
6730,500
6740,400
6750,500
6760,300
6770,500
6780,500
6790,200
6800,502
6810,500
6820,500
6830,602
6840,400
6850,598
6860,298
6870,400
6880,400
6890,601
6900,400
6910,402
6920,598
6930,300
6940,400
6950,500
6960,500
6970,300
6980,300
6990,400
7000,400
7010,500
7020,501
7030,401
7040,400
7050,500
7060,400
7070,300
7080,398
7090,500
7100,598
7110,400
7120,500
7130,300
7140,500
7150,400
7160,600
7170,302
7180,502
7190,400
7200,402
7210,500
7220,400
7230,502
7240,502
7250,598
7260,400
7270,301
7280,500
7290,400
7300,700
7310,700
7320,600
7330,300
7340,499
7350,402
7360,500
7370,300
7380,500
7390,500
7400,500
7410,500
7420,401
7430,400
7440,600
7450,600
7460,698
7470,698
7480,602
7490,400
7500,500
7510,402
7520,400
7530,400
7540,602
7550,500
7560,400
7570,500
7580,300
7590,700
7600,598
7610,502
7620,498
7630,600
7640,500
7650,600
7660,700
7670,400
7680,300
7690,300
7700,400
7710,700
7720,500
7730,498
7740,400
7750,402
7760,402
7770,400
7780,600
7790,400
7800,500
7810,500
7820,602
7830,400
7840,500
7850,602
7860,598
7870,697
7880,600
7890,800
7900,400
7910,400
7920,600
7930,502
7940,400
7950,700
7960,400
7970,700
7980,700
7990,700
8000,400
8010,500
8020,200
8030,700
8040,600
8050,501
8060,500
8070,600
8080,600
8090,600
8100,600
8110,400
8120,602
8130,800
8140,502
8150,698
8160,700
8170,300
8180,600
8190,300
8200,700
8210,400
8220,500
8230,300
8240,702
8250,200
8260,800
8270,300
8280,600
8290,400
8300,400
8310,600
8320,801
8330,700
8340,600
8350,400
8360,500
8370,900
8380,400
8390,698
8400,600
8410,997
8420,800
8430,502
8440,600
8450,400
8460,700
8470,400
8480,500
8490,598
8500,602
8510,300
8520,799
8530,700
8540,602
8550,900
8560,400
8570,500
8580,500
8590,400
8600,400
8610,400
8620,402
8630,500
8640,600
8650,800
8660,698
8670,798
8680,400
8690,702
8700,400
8710,400
8720,500
8730,500
8740,400
8750,798
8760,500
8770,701
8780,400
8790,600
8800,200
8810,100
8820,700
8830,400
8840,798
8850,398
8860,0
8870,300
8880,800
8890,400
8900,801
8910,400
8920,700
8930,1000
8940,904
8950,698
8960,700
8970,100
8980,400
8990,500
9000,602
9010,698
9020,900
9030,400
9040,700
9050,700
9060,800
9070,298
9080,600
9090,0
9100,0
9110,700
9120,900
9130,500
9140,1100
9150,800
9160,700
9170,700
9180,300
9190,0
9200,0
9210,800
9220,799
9230,100
9240,702
9250,700
9260,0
9270,602
9280,1000
9290,900
9300,0
9310,900
9320,502
9330,600
9340,400
9350,800
9360,700
9370,902
9380,600
9390,700
9400,300
9410,600
9420,500
9430,900
9440,398
9450,600
9460,800
9470,398
9480,502
9490,600
9500,500
9510,700
9520,700
9530,500
9540,700
9550,600
9560,700
9570,502
9580,800
9590,800
9600,897
9610,700
9620,500
9630,700
9640,500
9650,800
9660,498
9670,500
9680,600
9690,700
9700,600
9710,700
9720,600
9730,600
9740,700
9750,698
9760,702
9770,400
9780,798
9790,600
9800,700
9810,800
9820,700
9830,800
9840,600
9850,700
9860,600
9870,700
9880,800
9890,700
9900,700
9910,600
9920,600
9930,800
9940,700
9950,600
9960,600
9970,700
9980,500
9990,798
